FSW_CYCLE [int], FSW_PAYLOAD_RELEASED [bool], FSW_DROGUE_RELEASED [bool], FSW_PARACHUTE_RELEASED [bool], FSW_LIFTOFF_TIME [s], FSW_STATE [enum], EST_ABS_ALTI [m], EST_REL_ALTI [m], EST_VERT_VEL [m/s], TIMESTAMP [s], BMP_STATUS [bool], BMP_PRESSURE [Pa], BMP_TEMPERATURE [°C], INA_STATUS [bool], INA_VOLTAGE [V], INA_CURRENT [mA], INA_POWER [mW], MPU_STATUS [bool], MPU_ACC_X [G], MPU_ACC_Y [G], MPU_ACC_Z [G], MPU_GYRO_X [°/s], MPU_GYRO_Y [°/s], MPU_GYRO_Z [°/s], MPU_MAG_X [uT], MPU_MAG_Y [uT], MPU_MAG_Z [uT], GPIO_RBF [bool], GPIO_BW [bool], INPUT_TIMESTAMP [s], OUTPUT_TIMESTAMP [s], 
25953, 0, 0, 0, 0.000000, 2, 158.534073, 1.755219, 0.168902, 1064.786987, 0, 99466.335938, 18.204947, 0, 12.088000, 112.199997, 1356.273560, 0, -0.003906, -1.010498, 0.012695, -0.747681, 0.381470, 0.183105, -19.065676, 50.597370, 18.041872, 0, 1, 1064.786987, 1064.798950, 
25954, 0, 0, 0, 0.000000, 2, 158.363510, 1.584656, 0.107134, 1064.828125, 0, 99468.320313, 18.204947, 0, 12.096000, 121.599998, 1470.873657, 0, -0.006103, -1.009033, 0.013427, -0.747681, 0.152588, 0.167847, -19.615646, 48.947456, 18.926279, 0, 1, 1064.828125, 1064.839355, 
25955, 0, 0, 0, 0.000000, 2, 158.149857, 1.371002, 0.163853, 1064.868408, 0, 99470.820313, 18.207178, 0, 12.092000, 110.400002, 1334.956787, 0, -0.005859, -1.010010, 0.014648, -0.701904, 0.152588, 0.183105, -20.165619, 47.297539, 16.980587, 0, 1, 1064.868408, 1064.879639, 
25956, 0, 0, 0, 0.000000, 2, 158.236740, 1.457886, 0.660585, 1064.908447, 0, 99469.781250, 18.202715, 0, 12.100000, 110.500000, 1337.050049, 0, -0.001953, -1.010010, 0.014648, -0.732422, 0.427246, 0.122070, -19.065676, 47.664188, 16.980587, 0, 1, 1064.908447, 1064.920044, 
25957, 0, 0, 0, 0.000000, 2, 158.276627, 1.497772, 0.716196, 1064.949829, 0, 99469.359375, 18.209412, 0, 12.096000, 128.800003, 1557.964844, 0, -0.001464, -1.011475, 0.014160, -0.762939, 0.427246, 0.076293, -19.065676, 47.664188, 16.980587, 0, 1, 1064.949829, 1064.960205, 
25958, 0, 0, 0, 0.000000, 2, 157.936188, 1.157333, 0.659697, 1064.989868, 0, 99473.320313, 18.209412, 0, 12.088000, 111.500000, 1347.812012, 0, -0.004638, -1.010010, 0.014404, -0.671387, 0.579834, 0.228882, -20.348942, 48.214161, 17.864992, 0, 1, 1064.989868, 1065.000488, 
25959, 0, 0, 0, 0.000000, 2, 158.451080, 1.672226, 0.174571, 1065.031250, 0, 99467.273438, 18.200483, 0, 12.096000, 119.800003, 1449.100830, 0, -0.006835, -1.010010, 0.010742, -0.747681, 0.518799, 0.167847, -19.798971, 49.130779, 17.334349, 0, 1, 1065.031250, 1065.040894, 
25960, 0, 0, 0, 0.000000, 2, 158.660843, 1.881989, 0.440024, 1065.071289, 0, 99464.875000, 18.207178, 0, 12.092000, 111.900002, 1353.094849, 0, -0.004150, -1.009766, 0.013427, -0.717163, 0.518799, 0.152588, -19.798971, 48.397484, 16.980587, 0, 1, 1065.071289, 1065.081055, 
25961, 0, 0, 0, 0.000000, 2, 158.786957, 2.008102, 0.219554, 1065.112549, 0, 99463.421875, 18.209412, 0, 12.088000, 125.099998, 1512.208862, 0, -0.004882, -1.009766, 0.012695, -0.717163, 0.396729, 0.061035, -21.265560, 48.030834, 17.688110, 0, 1, 1065.112549, 1065.121460, 
25962, 0, 0, 0, 0.000000, 2, 157.936188, 1.157333, 0.219568, 1065.153687, 0, 99473.320313, 18.209412, 0, 12.084000, 122.599998, 1481.498413, 0, -0.002441, -1.010254, 0.013916, -0.717163, 0.228882, 0.152588, -20.348942, 47.847511, 17.864992, 0, 1, 1065.153687, 1065.161743, 
25963, 0, 0, 0, 0.000000, 2, 158.145935, 1.367081, 0.445023, 1065.193970, 0, 99470.921875, 18.216106, 0, 12.088000, 121.199997, 1465.065552, 0, -0.005615, -1.010498, 0.014892, -0.732422, 0.045776, 0.213623, -19.798971, 48.764130, 17.688110, 0, 1, 1065.193970, 1065.202148, 
25964, 0, 0, 0, 0.000000, 2, 157.849289, 1.070435, 0.608926, 1065.235107, 0, 99474.359375, 18.213875, 0, 12.088000, 132.100006, 1596.824707, 0, -0.005126, -1.010498, 0.017334, -0.732422, 0.244141, 0.167847, -19.982294, 47.480865, 18.218754, 0, 1, 1065.235107, 1065.242310, 
25965, 0, 0, 0, 0.000000, 2, 158.490295, 1.711441, 0.000000, 1065.276245, 0, 99466.859375, 18.207178, 0, 12.092000, 113.199997, 1368.814331, 0, -0.001953, -1.009033, 0.019043, -0.701904, 0.717163, 0.122070, -19.065676, 48.030834, 16.980587, 0, 1, 1065.276245, 1065.282593, 
25966, 0, 0, 0, 0.000000, 2, 158.062958, 1.284103, 0.332335, 1065.317383, 0, 99471.859375, 18.211643, 0, 12.092000, 126.699997, 1532.056396, 0, -0.004394, -1.010498, 0.012451, -0.732422, 0.793457, 0.137329, -18.515703, 48.947456, 17.864992, 0, 1, 1065.317383, 1065.322998, 
25967, 0, 0, 0, 0.000000, 2, 158.786957, 2.008102, 0.552363, 1065.357666, 0, 99463.421875, 18.209412, 0, 12.088000, 110.000000, 1329.679932, 0, -0.005859, -1.009277, 0.011230, -0.732422, 0.610352, 0.152588, -19.798971, 50.597370, 17.688110, 0, 1, 1065.357666, 1065.363159, 
25968, 0, 0, 0, 0.000000, 2, 158.446503, 1.667648, 0.384389, 1065.398804, 0, 99467.382813, 18.209412, 0, 12.096000, 118.199997, 1429.747192, 0, -0.005371, -1.008057, 0.013916, -0.762939, 0.228882, 0.137329, -18.699028, 49.497425, 17.334349, 0, 1, 1065.398804, 1065.403442, 
25969, 0, 0, 0, 0.000000, 2, 158.363510, 1.584656, 0.219292, 1065.440063, 0, 99468.320313, 18.204947, 0, 12.088000, 112.199997, 1356.273560, 0, -0.005371, -1.010498, 0.011962, -0.717163, 0.305176, 0.183105, -18.882351, 48.214161, 16.803705, 0, 1, 1065.440063, 1065.443726, 
25970, 0, 0, 0, 0.000000, 2, 158.062958, 1.284103, 0.770833, 1065.481201, 0, 99471.859375, 18.211643, 0, 12.096000, 119.300003, 1443.052734, 0, -0.001464, -1.009766, 0.014648, -0.732422, 0.396729, 0.106812, -18.515703, 47.847511, 17.511229, 0, 1, 1065.481201, 1065.484009, 
25971, 0, 0, 0, 0.000000, 2, 158.193634, 1.414780, 0.218981, 1065.522461, 0, 99470.296875, 18.204947, 0, 12.092000, 109.400002, 1322.864746, 0, -0.001220, -1.010498, 0.012451, -0.717163, 0.427246, 0.198364, -18.332380, 48.397484, 18.041872, 0, 1, 1065.522461, 1065.524292, 
25972, 0, 0, 0, 0.000000, 2, 158.617065, 1.838211, 0.106865, 1065.563599, 0, 99465.398438, 18.209412, 0, 12.100000, 111.699997, 1351.570068, 0, -0.004394, -1.010010, 0.013916, -0.778198, 0.640869, 0.122070, -19.798971, 47.664188, 16.980587, 0, 1, 1065.563599, 1065.564697, 
25973, 0, 0, 0, 0.000000, 2, 158.149857, 1.371002, 0.275067, 1065.604858, 0, 99470.820313, 18.207178, 0, 12.092000, 129.199997, 1562.286377, 0, -0.005126, -1.009033, 0.014160, -0.747681, 0.610352, 0.091552, -19.248999, 50.047398, 16.803705, 0, 1, 1065.604858, 1065.645142, 
25974, 0, 0, 0, 0.000000, 2, 158.276627, 1.497772, 0.163184, 1065.645264, 0, 99469.359375, 18.209412, 0, 12.088000, 113.000000, 1365.944092, 0, -0.003417, -1.010986, 0.010498, -0.701904, 0.839233, 0.183105, -19.432323, 48.030834, 17.334349, 0, 1, 1065.645264, 1065.685303, 
25975, 0, 0, 0, 0.000000, 2, 158.407303, 1.628448, 0.219486, 1065.685547, 0, 99467.796875, 18.202715, 0, 12.096000, 112.699997, 1363.219238, 0, -0.002441, -1.010010, 0.010498, -0.717163, 0.457764, 0.106812, -18.149055, 49.314102, 18.572515, 0, 1, 1065.685547, 1065.725586, 
25976, 0, 0, 0, 0.000000, 2, 158.573288, 1.794434, 0.382295, 1065.725830, 0, 99465.921875, 18.211643, 0, 12.096000, 126.500000, 1530.143921, 0, -0.003173, -1.009766, 0.013183, -0.747681, 0.045776, 0.198364, -19.065676, 48.030834, 17.688110, 0, 1, 1065.725830, 1065.765991, 
25977, 0, 0, 0, 0.000000, 2, 158.189728, 1.410873, 0.326624, 1065.766113, 0, 99470.398438, 18.213875, 0, 12.084000, 111.599998, 1348.574341, 0, -0.002929, -1.009277, 0.014160, -0.732422, -0.106812, 0.244141, -17.599085, 47.664188, 18.395636, 0, 1, 1065.766113, 1065.806274, 
25978, 0, 0, 0, 0.000000, 2, 158.232834, 1.453979, 0.281555, 1065.806396, 0, 99469.882813, 18.211643, 0, 12.096000, 114.599998, 1386.201660, 0, -0.005371, -1.009277, 0.016113, -0.762939, 0.335693, 0.122070, -19.065676, 47.297539, 17.334349, 0, 1, 1065.806396, 1065.846558, 
25979, 0, 0, 0, 0.000000, 2, 158.315826, 1.536972, 0.444958, 1065.846680, 0, 99468.945313, 18.216106, 0, 12.104000, 121.199997, 1467.004761, 0, -0.003173, -1.009766, 0.014160, -0.778198, 0.885010, 0.152588, -18.882351, 47.114216, 16.803705, 0, 1, 1065.846680, 1065.886841, 
25980, 0, 0, 0, 0.000000, 2, 158.786957, 2.008102, 0.000000, 1065.886963, 0, 99463.421875, 18.209412, 0, 12.096000, 108.400002, 1311.206421, 0, -0.002929, -1.009521, 0.010498, -0.747681, 0.885010, 0.106812, -18.699028, 49.497425, 17.334349, 0, 1, 1065.886963, 1065.927246, 
25981, 0, 0, 0, 0.000000, 2, 158.617065, 1.838211, 0.880188, 1065.927246, 0, 99465.398438, 18.209412, 0, 12.100000, 108.800003, 1316.479980, 0, -0.003662, -1.011719, 0.010009, -0.701904, 0.488281, 0.183105, -19.982294, 50.047398, 17.157467, 0, 1, 1065.927246, 1065.967407, 
25982, 0, 0, 0, 0.000000, 2, 158.573288, 1.794434, 0.552363, 1065.967651, 0, 99465.921875, 18.211643, 0, 12.100000, 114.800003, 1389.079956, 0, -0.006103, -1.010010, 0.011474, -0.762939, 0.137329, 0.228882, -21.265560, 49.864075, 17.688110, 0, 1, 1065.967651, 1066.007690, 
25983, 0, 0, 0, 0.000000, 2, 158.486389, 1.707535, 0.824376, 1066.007935, 0, 99466.960938, 18.216106, 0, 12.100000, 104.500000, 1264.449951, 0, -0.003906, -1.009033, 0.012451, -0.686646, 0.106812, 0.152588, -19.248999, 48.947456, 18.572515, 0, 1, 1066.007935, 1066.047974, 
25984, 0, 0, 0, 0.000000, 2, 158.490295, 1.711441, 0.000000, 1066.048218, 0, 99466.859375, 18.207178, 0, 12.092000, 103.500000, 1251.521973, 0, -0.003906, -1.010498, 0.017334, -0.778198, 0.106812, 0.152588, -19.982294, 50.047398, 17.157467, 0, 1, 1066.048218, 1066.088257, 
25985, 0, 0, 0, 0.000000, 2, 158.703964, 1.925110, 0.831269, 1066.088501, 0, 99464.359375, 18.204947, 0, 12.092000, 120.000000, 1451.040039, 0, -0.002197, -1.009277, 0.015869, -0.869751, 0.244141, 0.076293, -19.432323, 49.864075, 17.334349, 0, 1, 1066.088501, 1066.128662, 
25986, 0, 0, 0, 0.000000, 2, 158.490295, 1.711441, 0.384716, 1066.128784, 0, 99466.859375, 18.207178, 0, 12.092000, 129.199997, 1562.286377, 0, -0.004394, -1.009277, 0.014892, -0.717163, 0.518799, 0.213623, -18.882351, 50.047398, 17.511229, 0, 1, 1066.128784, 1066.168945, 
25987, 0, 0, 0, 0.000000, 2, 158.490295, 1.711441, 0.056854, 1066.169067, 0, 99466.859375, 18.207178, 0, 12.084000, 119.900002, 1448.871582, 0, -0.005859, -1.009521, 0.012451, -0.762939, 0.793457, 0.167847, -19.248999, 50.780693, 18.218754, 0, 1, 1066.169067, 1066.209229, 
25988, 0, 0, 0, 0.000000, 2, 158.660843, 1.881989, 0.386504, 1066.209351, 0, 99464.875000, 18.207178, 0, 12.088000, 117.099998, 1415.504883, 0, -0.003662, -1.008789, 0.011230, -0.808716, 0.732422, 0.137329, -20.348942, 49.314102, 18.218754, 0, 1, 1066.209351, 1066.249634, 
25989, 0, 0, 0, 0.000000, 2, 158.403397, 1.624542, 0.442960, 1066.249756, 0, 99467.898438, 18.211643, 0, 12.096000, 122.400002, 1480.550415, 0, -0.003662, -1.010742, 0.010009, -0.732422, 0.320435, 0.137329, -19.798971, 49.130779, 18.041872, 0, 1, 1066.249756, 1066.289795, 
25990, 0, 0, 0, 0.000000, 2, 158.363510, 1.584656, 0.221314, 1066.290039, 0, 99468.320313, 18.204947, 0, 12.092000, 111.900002, 1353.094849, 0, -0.005859, -1.010742, 0.013183, -0.793457, 0.000000, 0.137329, -19.982294, 50.414043, 17.157467, 0, 1, 1066.290039, 1066.330200, 
25991, 0, 0, 0, 0.000000, 2, 158.617065, 1.838211, 0.000000, 1066.330322, 0, 99465.398438, 18.209412, 0, 12.084000, 108.900002, 1315.947510, 0, -0.004638, -1.009277, 0.015380, -0.747681, 0.244141, 0.137329, -18.515703, 48.580807, 17.864992, 0, 1, 1066.330322, 1066.370361, 
25992, 0, 0, 0, 0.000000, 2, 158.023087, 1.244232, 0.165551, 1066.370605, 0, 99472.281250, 18.204947, 0, 12.092000, 117.199997, 1417.182495, 0, -0.005859, -1.008789, 0.014892, -0.732422, 0.686646, 0.061035, -19.065676, 50.597370, 17.688110, 0, 1, 1066.370605, 1066.410645, 
25993, 0, 0, 0, 0.000000, 2, 158.490295, 1.711441, 0.279078, 1066.410889, 0, 99466.859375, 18.207178, 0, 12.096000, 129.000000, 1560.384033, 0, -0.002197, -1.010742, 0.014648, -0.762939, 0.595093, 0.137329, -19.065676, 49.130779, 15.919299, 0, 1, 1066.410889, 1066.451050, 
25994, 0, 0, 0, 0.000000, 2, 158.703964, 1.925110, 0.387476, 1066.451172, 0, 99464.359375, 18.204947, 0, 12.084000, 112.000000, 1353.408081, 0, -0.003173, -1.009521, 0.011474, -0.717163, 0.671387, 0.198364, -19.248999, 49.314102, 16.096180, 0, 1, 1066.451172, 1066.491333, 
25995, 0, 0, 0, 0.000000, 2, 157.805496, 1.026642, 1.002830, 1066.491455, 0, 99474.882813, 18.216106, 0, 12.096000, 112.300003, 1358.380737, 0, -0.005371, -1.007813, 0.011962, -0.717163, 0.457764, 0.167847, -19.432323, 48.764130, 18.041872, 0, 1, 1066.491455, 1066.531738, 
25996, 0, 0, 0, 0.000000, 2, 157.849289, 1.070435, 0.444584, 1066.531860, 0, 99474.359375, 18.213875, 0, 12.096000, 123.099998, 1489.017578, 0, -0.004882, -1.007813, 0.011962, -0.747681, 0.244141, 0.091552, -18.882351, 50.047398, 17.511229, 0, 1, 1066.531860, 1066.571899, 
25997, 0, 0, 0, 0.000000, 2, 158.743851, 1.964996, 0.667344, 1066.572144, 0, 99463.937500, 18.211643, 0, 12.084000, 112.900002, 1364.283569, 0, -0.002197, -1.010986, 0.012939, -0.778198, 0.213623, 0.137329, -19.432323, 49.497425, 18.395636, 0, 1, 1066.572144, 1066.612305, 
25998, 0, 0, 0, 0.000000, 2, 158.276627, 1.497772, 0.051191, 1066.612427, 0, 99469.359375, 18.209412, 0, 12.096000, 111.599998, 1349.913574, 0, -0.001464, -1.009521, 0.017334, -0.732422, 0.350952, 0.213623, -18.882351, 48.214161, 16.096180, 0, 1, 1066.612427, 1066.652588, 
25999, 0, 0, 0, 0.000000, 2, 158.534073, 1.755219, 0.330245, 1066.652710, 0, 99466.335938, 18.204947, 0, 12.104000, 115.800003, 1401.643188, 0, -0.004638, -1.008301, 0.015625, -0.732422, 0.839233, 0.213623, -20.532265, 49.864075, 18.041872, 0, 1, 1066.652710, 1066.692871, 
26000, 0, 0, 0, 0.000000, 2, 158.446503, 1.667648, 0.222740, 1066.692993, 0, 99467.382813, 18.209412, 0, 12.096000, 103.800003, 1255.564819, 0, -0.006591, -1.010498, 0.012939, -0.778198, 0.839233, 0.213623, -20.532265, 48.397484, 17.334349, 0, 1, 1066.692993, 1066.733154, 
26001, 0, 0, 0, 0.000000, 2, 158.830734, 2.051880, 0.336256, 1066.733276, 0, 99462.898438, 18.207178, 0, 12.092000, 106.500000, 1287.797974, 0, -0.004150, -1.010254, 0.011474, -0.762939, 0.762939, 0.213623, -19.065676, 49.497425, 16.980587, 0, 1, 1066.733276, 1066.773560, 
26002, 0, 0, 0, 0.000000, 2, 158.403397, 1.624542, 0.108398, 1066.773560, 0, 99467.898438, 18.211643, 0, 12.060000, 112.800003, 1360.367920, 0, -0.004394, -1.009277, 0.009277, -0.717163, 0.366211, 0.152588, -19.248999, 47.114216, 17.864992, 0, 1, 1066.773560, 1066.813843, 
26003, 0, 0, 0, 0.000000, 2, 158.276627, 1.497772, 0.279078, 1066.813843, 0, 99469.359375, 18.209412, 0, 12.096000, 121.699997, 1472.083252, 0, -0.003906, -1.010742, 0.013183, -0.671387, 0.091552, 0.167847, -19.432323, 49.130779, 18.041872, 0, 1, 1066.813843, 1066.854126, 
26004, 0, 0, 0, 0.000000, 2, 158.913742, 2.134888, 0.273952, 1066.854248, 0, 99461.960938, 18.211643, 0, 12.092000, 108.099998, 1307.145142, 0, -0.004638, -1.008789, 0.013427, -0.686646, 0.000000, 0.122070, -21.082237, 49.314102, 17.511229, 0, 1, 1066.854248, 1066.894409, 
26005, 0, 0, 0, 0.000000, 2, 158.145935, 1.367081, 0.449705, 1066.894531, 0, 99470.921875, 18.216106, 0, 12.092000, 113.000000, 1366.395996, 0, -0.002929, -1.007568, 0.017822, -0.762939, 0.213623, 0.152588, -19.432323, 50.597370, 18.041872, 0, 1, 1066.894531, 1066.934692, 
26006, 0, 0, 0, 0.000000, 2, 159.000641, 2.221786, 0.666467, 1066.934814, 0, 99460.921875, 18.207178, 0, 12.092000, 123.900002, 1498.198853, 0, -0.002929, -1.009521, 0.016357, -0.717163, 0.595093, 0.137329, -19.432323, 48.030834, 18.395636, 0, 1, 1066.934814, 1066.974854, 
26007, 0, 0, 0, 0.000000, 2, 158.957520, 2.178665, 0.387434, 1066.975098, 0, 99461.437500, 18.209412, 0, 12.088000, 109.099998, 1318.800903, 0, -0.004882, -1.009521, 0.012939, -0.747681, 0.793457, 0.198364, -18.882351, 47.847511, 18.572515, 0, 1, 1066.975098, 1067.015259, 
26008, 0, 0, 0, 0.000000, 2, 158.320404, 1.541550, 0.108398, 1067.015381, 0, 99468.835938, 18.207178, 0, 12.048000, 117.900002, 1420.459229, 0, -0.005126, -1.009033, 0.012939, -0.762939, 0.747681, 0.167847, -19.432323, 48.764130, 17.334349, 0, 1, 1067.015381, 1067.055542, 
26009, 0, 0, 0, 0.000000, 2, 158.149857, 1.371002, 0.279058, 1067.055664, 0, 99470.820313, 18.207178, 0, 12.092000, 119.800003, 1448.621582, 0, -0.004882, -1.009277, 0.011718, -0.732422, 0.473022, 0.152588, -19.432323, 49.864075, 18.041872, 0, 1, 1067.055664, 1067.095825, 
26010, 0, 0, 0, 0.000000, 2, 158.617065, 1.838211, 0.000000, 1067.095947, 0, 99465.398438, 18.209412, 0, 12.080000, 138.500000, 1673.079956, 0, -0.005126, -1.009521, 0.012939, -0.747681, 0.396729, 0.122070, -18.149055, 48.214161, 18.926279, 0, 1, 1067.095947, 1067.136108, 
26011, 0, 0, 0, 0.000000, 2, 158.617065, 1.838211, 0.775685, 1067.136353, 0, 99465.398438, 18.209412, 0, 12.072000, 121.199997, 1463.126465, 0, -0.002929, -1.009521, 0.010742, -0.762939, 0.076293, 0.137329, -18.882351, 48.580807, 17.864992, 0, 1, 1067.136353, 1067.176392, 
26012, 0, 0, 0, 0.000000, 2, 158.786957, 2.008102, 0.387414, 1067.176636, 0, 99463.421875, 18.209412, 0, 12.084000, 123.800003, 1495.999146, 0, -0.004150, -1.009033, 0.013427, -0.717163, 0.061035, 0.091552, -20.165619, 48.764130, 18.749397, 0, 1, 1067.176636, 1067.216675, 
26013, 0, 0, 0, 0.000000, 2, 158.529495, 1.750641, 0.227842, 1067.216919, 0, 99466.445313, 18.213875, 0, 12.080000, 134.100006, 1619.927979, 0, -0.002685, -1.009277, 0.015625, -0.762939, 0.106812, 0.167847, -18.515703, 49.314102, 17.511229, 0, 1, 1067.216919, 1067.256958, 
26014, 0, 0, 0, 0.000000, 2, 158.869965, 2.091110, 1.390104, 1067.257202, 0, 99462.484375, 18.213875, 0, 12.036000, 165.500000, 1991.957886, 0, -0.004638, -1.009277, 0.015869, -0.701904, 0.473022, 0.091552, -18.699028, 50.964016, 16.980587, 0, 1, 1067.257202, 1067.297241, 
26015, 0, 0, 0, 0.000000, 2, 158.786957, 2.008102, 1.224709, 1067.297485, 0, 99463.421875, 18.209412, 0, 12.092000, 110.500000, 1336.166016, 0, -0.003173, -1.009033, 0.014160, -0.701904, 0.610352, 0.213623, -19.432323, 48.397484, 18.041872, 0, 1, 1067.297485, 1067.337646, 
26016, 0, 0, 0, 0.000000, 2, 158.786957, 2.008102, 0.056301, 1067.337769, 0, 99463.421875, 18.209412, 0, 12.044000, 119.599998, 1440.462402, 0, -0.049804, -0.967529, -0.098144, -1.037598, -1.480103, 0.625610, -19.248999, 49.314102, 17.511229, 0, 1, 1067.337769, 1067.378052, 
26017, 0, 0, 0, 0.000000, 2, 158.149857, 1.371002, 0.165577, 1067.378052, 0, 99470.820313, 18.207178, 0, 12.092000, 130.100006, 1573.169189, 0, 0.020019, -1.024170, -0.024902, -1.052856, -1.785278, -0.244141, -18.515703, 47.114216, 17.511229, 0, 1, 1067.378052, 1067.418213, 
26018, 0, 0, 0, 0.000000, 2, 158.490295, 1.711441, 0.057105, 1067.419312, 0, 99466.859375, 18.207178, 0, 12.052000, 112.300003, 1353.439697, 0, -0.066406, -1.009033, -0.010498, -0.625610, 1.815796, 0.076293, -20.348942, 48.580807, 17.511229, 0, 1, 1067.419312, 1067.458618, 
26019, 0, 0, 0, 0.000000, 2, 158.320404, 1.541550, 0.164517, 1067.459473, 0, 99468.835938, 18.207178, 0, 12.096000, 119.000000, 1439.424072, 0, -0.018554, -1.012207, -0.057861, -0.686646, 1.617432, 0.183105, -19.432323, 49.497425, 18.041872, 0, 1, 1067.459473, 1067.498901, 
26020, 0, 0, 0, 0.000000, 2, 159.127426, 2.348572, 0.386653, 1067.500610, 0, 99459.460938, 18.209412, 0, 12.036000, 160.800003, 1935.388794, 0, 0.046875, -1.005859, -0.008789, -0.671387, 1.251221, 0.244141, -20.532265, 49.497425, 18.395636, 0, 1, 1067.500610, 1067.539185, 
26021, 0, 0, 0, 0.000000, 2, 158.874527, 2.095673, 0.613983, 1067.540894, 0, 99462.375000, 18.204947, 0, 12.092000, 116.000000, 1402.671997, 0, 0.001708, -1.011963, -0.002685, -0.640869, 1.586914, 0.137329, -19.065676, 50.230721, 18.041872, 0, 1, 1067.540894, 1067.579346, 
26022, 0, 0, 0, 0.000000, 2, 158.577179, 1.798325, 0.391746, 1067.581055, 0, 99465.820313, 18.202715, 0, 12.044000, 163.199997, 1965.580688, 0, -0.017089, -1.007080, 0.010498, -0.625610, 1.632690, -0.045776, -19.615646, 48.947456, 17.511229, 0, 1, 1067.581055, 1067.619751, 
26023, 0, 0, 0, 0.000000, 2, 158.786957, 2.008102, 0.165044, 1067.622437, 0, 99463.421875, 18.209412, 0, 12.096000, 104.599998, 1265.241577, 0, -0.036621, -1.003662, 0.032226, -0.717163, -2.960205, 0.167847, -20.348942, 49.314102, 17.864992, 0, 1, 1067.622437, 1067.660034, 
26024, 0, 0, 0, 0.000000, 2, 158.486389, 1.707535, 0.443191, 1067.662720, 0, 99466.960938, 18.216106, 0, 12.056000, 115.800003, 1396.084839, 0, 0.019775, -1.011230, 0.024902, -0.946045, -2.655029, 0.228882, -19.615646, 48.947456, 17.864992, 0, 1, 1067.662720, 1067.700439, 
26025, 0, 0, 0, 0.000000, 2, 158.660843, 1.881989, 0.442407, 1067.702881, 0, 99464.875000, 18.207178, 0, 12.092000, 124.900002, 1510.290771, 0, -0.003173, -1.017090, 0.016113, -0.900269, -0.030517, 0.152588, -18.149055, 47.480865, 16.449944, 0, 1, 1067.702881, 1067.740601, 
26026, 0, 0, 0, 0.000000, 2, 158.700058, 1.921204, 0.334782, 1067.744141, 0, 99464.460938, 18.213875, 0, 12.048000, 165.300003, 1991.534424, 0, -0.004638, -1.006592, 0.019043, -0.747681, 1.281738, 0.228882, -19.615646, 49.314102, 17.511229, 0, 1, 1067.744141, 1067.780884, 
26027, 0, 0, 0, 0.000000, 2, 158.786957, 2.008102, 0.605897, 1067.785400, 0, 99463.421875, 18.209412, 0, 12.096000, 119.599998, 1446.681641, 0, -0.010498, -1.004395, 0.033691, -0.701904, 2.593994, 0.152588, -18.882351, 48.580807, 16.803705, 0, 1, 1067.785400, 1067.821167, 
26028, 0, 0, 0, 0.000000, 2, 158.569382, 1.790527, 0.544910, 1067.825562, 0, 99466.023438, 18.220572, 0, 12.092000, 104.599998, 1264.823120, 0, 0.009277, -1.004395, 0.011718, -0.656128, 2.349854, 0.106812, -18.699028, 48.030834, 17.688110, 0, 1, 1067.825562, 1067.861450, 
26029, 0, 0, 0, 0.000000, 2, 158.446503, 1.667648, 0.221259, 1067.866821, 0, 99467.382813, 18.209412, 0, 12.092000, 115.099998, 1391.789185, 0, 0.000000, -1.001709, 0.011718, -0.625610, 0.656128, 0.228882, -20.165619, 47.664188, 17.688110, 0, 1, 1067.866821, 1067.901855, 
26030, 0, 0, 0, 0.000000, 2, 158.490295, 1.711441, 0.164502, 1067.906982, 0, 99466.859375, 18.207178, 0, 12.044000, 160.199997, 1929.448730, 0, -0.009521, -1.007324, 0.004638, -0.686646, -1.312256, 0.228882, -19.248999, 48.214161, 17.864992, 0, 1, 1067.906982, 1067.942139, 
26031, 0, 0, 0, 0.000000, 2, 159.084305, 2.305450, 0.385362, 1067.948242, 0, 99459.976563, 18.211643, 0, 12.096000, 108.199997, 1308.787231, 0, 0.023925, -0.956299, 0.013916, -0.961304, -0.015258, 0.198364, -19.065676, 48.030834, 16.980587, 0, 1, 1067.948242, 1067.982422, 
26032, 0, 0, 0, 0.000000, 2, 158.874527, 2.095673, 0.447231, 1067.988403, 0, 99462.375000, 18.204947, 0, 12.096000, 121.599998, 1470.873657, 0, -0.016845, -1.021484, 0.017089, -0.885010, 0.625610, 0.167847, -19.248999, 46.747570, 17.864992, 0, 1, 1067.988403, 1068.022705, 
26033, 0, 0, 0, 0.000000, 2, 158.874527, 2.095673, 0.005914, 1068.028564, 0, 99462.375000, 18.204947, 0, 12.080000, 112.400002, 1357.791992, 0, -0.009277, -1.045166, 0.020996, -0.381470, 1.159668, 0.015258, -19.982294, 48.947456, 17.511229, 0, 1, 1068.028564, 1068.062988, 
26034, 0, 0, 0, 0.000000, 2, 158.490295, 1.711441, 0.384108, 1068.069824, 0, 99466.859375, 18.207178, 0, 12.092000, 117.300003, 1418.391602, 0, -0.002685, -0.999512, 0.009765, -0.717163, 4.135132, 0.167847, -19.248999, 49.314102, 18.572515, 0, 1, 1068.069824, 1068.103271, 
26035, 0, 0, 0, 0.000000, 2, 158.830734, 2.051880, 0.056690, 1068.109985, 0, 99462.898438, 18.207178, 0, 12.076000, 116.500000, 1406.854004, 0, -0.005615, -1.013428, 0.037353, -0.640869, 4.623413, 0.198364, -19.982294, 48.580807, 18.572515, 0, 1, 1068.109985, 1068.143555, 
